District Name,Latitude,Longitude
Tehranpars West,35.7416,51.5117
Masoudieh,35.6267576,51.4937943
Janatabad South,35.7466,51.2914
Moshirieh,35.6896,51.4203
Shams Abad,35.7501,51.721
Tehranpars East,35.7259,51.5099
Fordos,35.7229,51.3157
Abuzar,35.7311321,51.3199924
Baghe Feiz,35.7443303,51.3158447
Hussein Abad,35.7725,51.4578
Yakhchi Abad,35.7725,51.4578
Kian Shahr North,35.6329,51.4461
Shahadat,35.6145,51.4404
Shemiran No,35.848,51.5422
Sulemani Timuri,35.7075,51.1828
Nazi Abad,35.6429,51.3913
Pasdaran,35.7813,51.4655
Shahid Rajaei,35.7743,51.3226
Shahid,35.6863,51.3764
Marzdararan East,35.6863,51.3764
Parvaresh,35.793,51.3572
Rezvieh,35.7075,51.1828
Kohsar,35.7678,51.3141
Fedak,35.7678,51.2343
Hassan Abad,35.686,51.4011
Janatabad Central,35.7591,51.3016
Haft Chanar,35.7272,51.3338
